timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-570.41,400.34,0.0,2.744,47.95,0.713
20000,-335.37,293.97,0.0,nan,10.92,0.886
30000,-550.66,389.44,0.0,2.625,48.94,0.712
40000,-355.39,182.99,0.0,nan,55.0,0.804
50000,-318.98,270.78,0.0,2.742,38.5,0.755
60000,-573.32,397.33,0.0,2.744,48.03,0.713
70000,-395.14,258.0,0.0,2.226,43.97,0.733
80000,-477.6,383.86,0.0,2.744,47.95,0.701
90000,-648.21,310.57,0.0,2.562,31.2,0.782
100000,-699.56,413.76,0.0,1.63,30.06,0.783
110000,-564.05,278.89,0.0,2.711,44.75,0.721
120000,-691.06,151.91,0.0,nan,27.48,0.833
130000,-685.16,147.25,0.0,nan,27.43,0.831
140000,-570.54,129.88,0.0,nan,25.15,0.834
150000,-669.26,422.78,0.0,2.585,29.88,0.784
160000,-670.01,427.92,0.0,2.61,32.62,0.773
170000,-691.06,151.91,0.0,nan,27.48,0.833
180000,-691.06,151.91,0.0,nan,27.48,0.833
190000,-691.06,151.91,0.0,nan,27.48,0.833
200000,-691.06,151.91,0.0,nan,27.48,0.833
200064,-691.06,151.91,0.0,nan,27.48,0.833
