train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/policy_loss,time/iterations,train/value_loss,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/explained_variance,train/learning_rate
99,-123.50347794936711,10,1209,0.003919134847819805,100,16.513507843017578,144.1772151898734,12800,-0.2812595069408417,-0.00036585330963134766,0.002
199,-113.55426841999999,19,1283,0.02053706906735897,200,221.50148010253906,168.07,25600,-0.16276943683624268,9.018182754516602e-05,0.002
299,-152.74515409999998,28,1337,1.7026498317718506,300,4.577473163604736,248.99,38400,-0.9619951844215393,-0.0023193359375,0.002
399,-138.57528063,43,1188,-0.013245753943920135,400,0.9285086989402771,337.7,51200,-0.6277458667755127,0.9933892488479614,0.002
499,-170.9199163,52,1208,-4.59002161026001,500,16.623815536499023,412.17,64000,-1.6344988346099854,0.9665824770927429,0.002
599,-201.82734434999998,63,1206,-15.335456848144531,600,356.6614990234375,442.0,76800,-1.4115664958953857,0.5862917304039001,0.002
699,-270.87784791999997,73,1220,0.1694478988647461,700,1.3923017978668213,511.94,89600,-0.12419463694095612,0.9948450326919556,0.002
799,-272.65405200000004,88,1161,0.004714834038168192,800,0.2997811436653137,518.29,102400,-0.2348347008228302,0.992142379283905,0.002
899,-224.44685245999997,97,1177,-0.9532963037490845,900,15.008269309997559,527.85,115200,-0.9981623888015747,0.9792284965515137,0.002
999,-226.95904062999998,108,1184,0.9475290179252625,1000,7.567495822906494,528.69,128000,-0.741450309753418,0.9953789114952087,0.002
1099,-102.53952589999997,122,1153,-0.13585422933101654,1100,219.7359619140625,546.33,140800,-0.09100764244794846,0.9026185274124146,0.002
1199,-105.12717083999998,132,1162,0.15332813560962677,1200,1.332437515258789,546.33,153600,-0.35265034437179565,0.9939458966255188,0.002
1299,-102.97026044,142,1171,-4.611868858337402,1300,67.73051452636719,546.33,166400,-1.0838414430618286,0.957988977432251,0.002
1399,-103.24726695999999,151,1180,0.04204689338803291,1400,1.5243651866912842,540.37,179200,-0.1238316148519516,0.9924227595329285,0.002
1499,-81.33600409,166,1154,-0.01612086221575737,1500,0.9657485485076904,540.37,192000,-0.08226999640464783,0.9960346817970276,0.002
