train/learning_rate,time/total_timesteps,train/policy_loss,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean
0.0007,12800,-4.43366003036499,-1.9391124248504639,11,1149,38.84334945678711,0.16580688953399658,99,-759.3952277916666,100,449.2916666666667
0.0007,25600,-10.750598907470703,-2.0832862854003906,20,1256,213.00674438476562,-0.0948019027709961,199,-664.4731925102042,200,481.0612244897959
0.0007,38400,0.4095660448074341,-1.9632534980773926,30,1242,3.0102808475494385,0.7697241306304932,299,-515.6409520958904,300,492.1917808219178
0.0007,51200,-1.1836755275726318,-1.8373273611068726,47,1078,1.8446245193481445,0.9883184432983398,399,-420.43563644444447,400,485.04040404040404
0.0007,64000,0.0940413773059845,-1.7127833366394043,58,1102,2.4437360763549805,0.5697622299194336,499,-196.05826305000005,500,466.87
0.0007,76800,0.45119115710258484,-1.7750524282455444,69,1107,0.34134170413017273,0.95923912525177,599,-118.70566491000001,600,435.05
0.0007,89600,0.9928206205368042,-1.973038911819458,79,1124,0.6362733244895935,0.9805184602737427,699,-102.92591886,700,453.59
0.0007,102400,-0.41770651936531067,-1.9768784046173096,96,1061,1.2611148357391357,0.6893733739852905,799,-78.41451262,800,450.7
0.0007,115200,0.35413068532943726,-1.7126753330230713,107,1074,0.6258095502853394,0.20007461309432983,899,-83.45434303,900,499.08
0.0007,128000,-5.4554901123046875,-1.6646392345428467,117,1084,79.7023696899414,0.34778040647506714,999,-59.42438306000001,1000,525.11
0.0007,140800,-0.7936843037605286,-1.8799861669540405,134,1049,6.252660751342773,0.9666386842727661,1099,-47.50177710999999,1100,545.83
0.0007,153600,1.9257482290267944,-1.6657558679580688,144,1064,62.55242919921875,0.78971266746521,1199,-16.353755749999994,1200,570.44
0.0007,166400,0.16467447578907013,-1.5370577573776245,156,1064,40.551605224609375,0.6123647689819336,1299,17.298618359999995,1300,581.82
0.0007,179200,0.41365307569503784,-1.4795656204223633,166,1074,1.4165525436401367,0.9918426275253296,1399,51.92183887,1400,589.94
0.0007,192000,1.67897367477417,-1.9201738834381104,182,1051,53.29792022705078,0.7895927429199219,1499,64.04826734000001,1500,596.11
