timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
75000,-146.32,171.88,0.0,nan,55.0,0.899
150000,-235.35,157.51,0.0,2.418,55.0,0.803
225000,103.64,116.89,0.1,2.37,53.44,0.764
300000,-99.69,76.79,0.0,2.568,55.0,0.819
375000,299.94,116.97,0.6,2.371,46.59,0.75
450000,377.06,79.94,1.0,2.384,38.39,0.779
525000,37.82,170.83,0.2,2.52,54.12,0.726
600000,288.95,215.52,0.8,2.437,40.82,0.794
675000,342.36,81.52,0.8,2.513,44.4,0.761
750000,303.29,172.68,0.8,2.54,41.27,0.78
825000,379.28,69.74,0.9,2.355,38.47,0.772
900000,257.82,105.14,0.8,2.537,43.31,0.76
975000,344.74,158.89,0.9,2.419,39.55,0.755
1050000,374.06,27.57,1.0,2.677,39.02,0.765
1125000,401.23,13.31,1.0,2.369,36.79,0.785
1200000,323.81,129.87,0.8,2.406,39.64,0.776
1275000,406.0,13.61,1.0,2.338,36.83,0.787
1350000,288.5,167.49,0.8,2.616,34.82,0.779
1425000,389.03,6.09,1.0,2.592,34.95,0.788
1500000,280.24,140.53,1.0,3.352,35.8,0.773
1500032,283.21,105.52,1.0,3.555,36.09,0.771
