rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
304.5,0.9758225,9,209,4,2036,-699.1180005,,,
296.375,0.9665125,10,256,8,2820,-443.452639125,,,
404.25,0.9370625000000001,14,356,12,5300,-370.7706595,,,
440.3125,0.91089,18,407,16,7504,-375.1100023125,,,
425.95,0.8915574999999999,21,434,20,9132,-386.4180986,,,
434.9166666666667,0.8656700000000002,25,435,24,11312,-385.4073478333333,5e-05,81,0.6135200262069702
435.2142857142857,0.8458150000000001,30,424,28,12984,-358.27389596428566,5e-05,186,0.44242268800735474
420.0,0.8389275,31,424,32,13564,-363.46732290625,5e-05,222,0.3887108564376831
397.77777777777777,0.8235374999999999,35,418,36,14860,-341.3576038333333,5e-05,303,0.3361698091030121
391.725,0.80487,39,412,40,16432,-320.1092221,5e-05,401,0.4793473482131958
412.47727272727275,0.7754200000000001,50,371,44,18912,-328.99068211363635,5e-05,556,0.2804209291934967
418.6666666666667,0.7459700000000002,57,371,48,21392,-313.29429214583337,5e-05,711,0.2109667956829071
427.40384615384613,0.7331925000000001,60,372,52,22468,-301.42513092307695,5e-05,779,0.6566727757453918
436.1607142857143,0.7037425000000002,67,371,56,24948,-290.37280630357145,5e-05,934,0.14193156361579895
448.05,0.6753374999999999,73,370,60,27340,-290.2734016166667,5e-05,1083,0.09719489514827728
445.8125,0.6458875000000001,80,369,64,29820,-278.05055828125,5e-05,1238,0.08993338793516159
447.27941176470586,0.6223275000000001,86,369,68,31804,-268.6328648382353,5e-05,1362,0.13274438679218292
456.875,0.5928775,95,357,72,34284,-269.69072283333327,5e-05,1517,0.13708004355430603
460.0921052631579,0.5828074999999999,98,358,76,35132,-270.24562836842097,5e-05,1570,0.17017194628715515
447.45,0.5658500000000002,102,357,80,36560,-259.24958528750005,5e-05,1659,0.19471368193626404
445.5833333333333,0.5427649999999999,107,357,84,38504,-254.25625469047623,5e-05,1781,0.11703908443450928
453.5113636363636,0.5133150000000001,114,359,88,40984,-250.69548495454544,5e-05,1936,0.603790819644928
456.0108695652174,0.48571750000000014,120,359,92,43308,-243.05240436956524,5e-05,2081,0.14716580510139465
