timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-146.32,171.88,0.0,nan,55.0,0.899,0.168
10000,-146.32,171.88,0.0,nan,55.0,0.899,0.168
20000,-134.67,60.37,0.0,nan,42.93,0.872,-0.297
30000,-97.12,41.96,0.0,nan,25.65,0.907,-0.325
40000,-101.57,30.76,0.0,4.631,40.8,0.812,-0.169
50000,45.01,41.46,0.0,3.353,49.96,0.766,0.149
60000,-18.59,4.76,0.0,3.939,55.0,0.738,0.721
70000,69.89,110.54,0.2,4.602,50.34,0.737,1.193
80000,22.57,61.43,0.0,3.758,55.0,0.706,1.984
90000,45.21,141.15,0.1,2.447,47.38,0.708,2.958
100000,-93.23,73.74,0.0,2.419,36.67,0.802,3.916
110000,-69.17,78.95,0.0,1.612,46.66,0.642,4.679
120000,-37.14,144.01,0.1,2.643,54.85,0.766,5.238
130000,2.34,131.45,0.1,2.26,42.93,0.785,5.774
140000,73.01,157.2,0.2,2.198,49.59,0.745,6.505
150000,96.2,140.67,0.2,3.624,52.41,0.784,7.548
160000,156.02,179.27,0.3,2.963,50.93,0.73,8.389
170000,155.77,148.98,0.5,4.994,45.45,0.757,8.959
180000,-33.45,110.88,0.1,5.682,52.76,0.815,10.082
190000,57.11,129.38,0.2,3.892,53.37,0.787,11.032
200000,-82.58,1.01,0.0,nan,55.0,0.783,11.635
200000,-83.25,0.9,0.0,nan,55.0,0.764,11.707
