rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
-33.240435500000004,0,4,9.25,0.999692380952381,160,76,,,
-35.33556887500001,0,8,13.625,0.9994171428571428,284,144,,,
-35.44415225000001,0,12,14.416666666666666,0.9992390476190476,355,188,,,
-34.802298750000006,0,16,12.75,0.9991257142857142,395,216,,,
-34.56889210000001,0,20,11.75,0.9988180952380952,505,292,,,
-34.671379916666666,0,24,13.25,0.9986076190476191,569,344,,,
-34.93908492857143,0,28,13.5,0.9984295238095238,618,388,,,
-34.90626075,0,32,13.0625,0.9982028571428571,676,444,,,
-34.91811427777778,0,36,13.777777777777779,0.9978790476190476,749,524,,,
-34.79509070731707,0,40,13.804878048780488,0.9976361904761905,799,584,,,
-34.73620497727273,0,44,13.818181818181818,0.9974904761904761,826,620,,,
-34.6220778125,0,48,13.541666666666666,0.997247619047619,869,680,,,
-34.63532094230769,0,52,13.75,0.9970695238095237,898,724,,,
-34.80495507142857,0,56,13.732142857142858,0.9967295238095238,955,808,,,
-34.72046461666666,0,60,13.85,0.9966161904761904,970,836,,,
-34.785873453125,0,64,13.828125,0.9962438095238095,1021,928,,,
-34.782834264705876,0,68,13.764705882352942,0.9958228571428571,1074,1032,,,
-34.855628930555554,0,72,14.652777777777779,0.9956771428571428,1084,1068,,,
-34.85270392105263,1,76,14.486842105263158,0.9953695238095238,1115,1144,,,
-34.7768534875,1,80,14.3,0.9952076190476191,1125,1184,,,
-34.68947841666667,1,84,14.035714285714286,0.9949485714285714,1149,1248,,,
-35.04030370454546,1,88,14.284090909090908,0.9947704761904762,1162,1292,,,
-35.09231565217391,1,92,14.347826086956522,0.9945438095238095,1177,1348,,,
-35.040216237113405,1,96,14.329896907216495,0.9942038095238096,1202,1432,,,
-35.10333336000001,1,100,14.5,0.9940742857142857,1206,1464,,,
-35.107096240000004,1,104,14.6,0.9938476190476191,1217,1520,,,
-35.009477360000005,1,108,14.39,0.9936209523809524,1231,1576,,,
-34.97413741,1,112,14.19,0.9934914285714286,1237,1608,,,
-34.960359909999994,1,116,14.38,0.9931838095238095,1260,1684,,,
-34.95777474,1,120,14.81,0.9927790476190477,1290,1784,,,
-35.00938247,1,124,14.49,0.992552380952381,1301,1840,,,
-34.8603829,1,128,14.22,0.9923742857142858,1308,1884,,,
-34.875013620000004,1,132,14.3,0.9921314285714286,1323,1944,,,
-35.34870942,1,136,14.65,0.9919857142857142,1330,1980,,,
-35.53760826,1,140,14.91,0.9916780952380951,1348,2056,,,
-35.5535039,1,144,15.03,0.9913219047619048,1366,2144,,,
-35.573910760000004,1,148,15.24,0.9910952380952381,1376,2200,,,
-35.50393416,1,152,15.01,0.9907876190476191,1390,2276,,,
-35.49203068,1,156,15.2,0.9907066666666667,1392,2296,,,
-35.4844047,1,160,14.85,0.9904961904761905,1401,2348,,,
-35.424646540000005,1,164,14.85,0.9902857142857143,1408,2400,,,
-35.4592345,1,168,14.9,0.990075238095238,1416,2452,,,
-35.51847099,1,172,14.24,0.9898323809523809,1425,2512,,,
-35.47862333,1,176,14.33,0.9896866666666666,1431,2548,,,
-35.45222856,1,180,14.21,0.9894761904761904,1437,2600,,,
-35.52159743,1,184,14.39,0.9892009523809524,1446,2668,,,
-35.16246456,1,188,14.29,0.9889904761904762,1453,2720,,,
-35.19597895,1,192,14.36,0.9886342857142857,1468,2808,,,
-35.15981862,1,196,14.69,0.9883590476190477,1476,2876,,,
-35.00583938,1,200,14.27,0.9882133333333334,1478,2912,,,
-34.95964611,2,204,14.53,0.9879219047619048,1487,2984,,,
-34.93187827,2,208,14.53,0.9876790476190477,1485,3044,,,
-35.03284975,2,212,14.73,0.9875495238095238,1479,3076,,,
-35.05489155,2,216,14.57,0.9874038095238095,1477,3112,,,
-35.02714313999999,2,220,14.12,0.9872419047619048,1480,3152,,,
-34.92941038,2,224,14.05,0.9870638095238096,1483,3196,,,
-34.9830891,2,228,14.14,0.9867561904761906,1485,3272,,,
-35.00068763,2,232,14.51,0.9864809523809523,1487,3340,,,
-34.571993049999996,2,236,13.95,0.9864,1487,3360,,,
-34.38036146,2,240,13.52,0.9861247619047618,1492,3428,,,
-34.35950407,2,244,13.35,0.9859142857142856,1495,3480,,,
-34.597410190000005,2,248,13.43,0.9857038095238095,1499,3532,,,
-34.63109007,2,252,13.47,0.9855095238095238,1500,3580,,,
-34.49740519,2,256,13.32,0.9852828571428571,1503,3636,,,
-34.48949926,2,260,13.36,0.9849590476190476,1510,3716,,,
-34.48301423,2,264,13.67,0.9848133333333333,1510,3752,,,
-34.614124450000006,2,268,13.8,0.9844571428571428,1517,3840,,,
-34.437193140000005,2,272,14.02,0.9841333333333333,1525,3920,,,
-34.6272615,2,276,14.16,0.983987619047619,1525,3956,,,
-34.69073209,2,280,14.4,0.9836152380952381,1533,4048,,,
-34.80807497,2,284,14.54,0.9834047619047619,1536,4100,,,
-34.81306743,2,288,14.22,0.9832266666666667,1538,4144,,,
-34.68106215999999,2,292,13.99,0.9827895238095238,1548,4252,,,
-34.689592880000006,2,296,14.31,0.9825628571428571,1553,4308,,,
-34.74357768,2,300,14.69,0.9822714285714287,1559,4380,,,
-34.741424329999994,2,304,14.63,0.9820771428571429,1564,4428,,,
-34.59556133,2,308,14.38,0.9818504761904762,1567,4484,,,
-34.732259109999994,2,312,14.5,0.98164,1569,4536,,,
-34.75329659,2,316,14.64,0.9814133333333332,1571,4592,,,
-34.85637377999999,2,320,14.87,0.981267619047619,1571,4628,,,
-34.95856303000001,2,324,15.09,0.9809599999999999,1577,4704,,,
-34.93830499,3,328,15.12,0.9808142857142856,1578,4740,,,
-34.85205045,3,332,14.61,0.9806685714285713,1580,4776,,,
-34.743624839999995,3,336,14.7,0.9803609523809523,1584,4852,,,
-34.80569968,3,340,14.93,0.9801019047619047,1589,4916,,,
-34.8305087,3,344,15.18,0.9797619047619047,1596,5000,,,
-34.65905318,3,348,15.09,0.979632380952381,1595,5032,,,
-34.64447465,3,352,15.0,0.9793571428571428,1599,5100,,,
-34.83992038,3,356,15.1,0.9790333333333333,1603,5180,,,
-35.110635370000004,3,360,15.59,0.9788552380952381,1604,5224,,,
-35.11240123,3,364,15.25,0.9785961904761905,1606,5288,,,
-34.9734496,3,368,15.06,0.9783857142857142,1607,5340,,,
-35.210833220000005,3,372,15.05,0.9778676190476191,1615,5468,,,
-35.01128629,3,376,15.15,0.9775438095238095,1619,5548,,,
-35.09960676000001,3,380,15.19,0.9771876190476191,1623,5636,,,
-35.52977287,3,384,15.93,0.9769285714285714,1628,5700,,,
-35.689988340000006,3,388,16.26,0.9767342857142858,1631,5748,,,
-35.63106346000001,3,392,15.89,0.9765723809523809,1633,5788,,,
-35.684271730000006,3,396,15.41,0.9763295238095238,1636,5848,,,
-35.748781339999994,3,400,15.42,0.9760866666666667,1638,5908,,,
-35.79156858,3,404,15.21,0.9758761904761905,1639,5960,,,
-35.91307999,3,408,15.42,0.9756980952380953,1639,6004,,,
-35.84420357,3,412,15.29,0.9753580952380951,1643,6088,,,
-35.79936736,3,416,15.33,0.9750342857142857,1647,6168,,,
-35.92996669,3,420,15.79,0.9747590476190476,1650,6236,,,
-35.72354523,3,424,15.76,0.9745161904761904,1651,6296,,,
-35.76087022,3,428,15.79,0.9743057142857143,1652,6348,,,
-35.758836720000005,3,432,16.12,0.9739980952380953,1652,6424,,,
-35.80571103,3,436,16.12,0.9736904761904761,1654,6500,,,
-36.05424823,3,440,16.28,0.9735285714285714,1654,6540,,,
-36.14006877,3,444,16.01,0.9733180952380953,1656,6592,,,
-36.183259830000004,4,448,16.08,0.9728809523809524,1660,6700,,,
-36.11420519,4,452,16.58,0.9726542857142857,1661,6756,,,
-36.07105094,4,456,16.37,0.9725409523809523,1661,6784,,,
-35.81071344,4,460,16.0,0.9723304761904763,1663,6836,,,
-35.86252296,4,464,16.25,0.9720714285714286,1665,6900,,,
-35.79349809,4,468,16.08,0.9718285714285715,1667,6960,,,
-35.573789819999995,4,472,15.98,0.9716504761904763,1668,7004,,,
-35.60591635,4,476,15.89,0.9712295238095238,1670,7108,,,
-35.67704609,4,480,16.06,0.9710676190476191,1670,7148,,,
-35.1644337,4,484,15.18,0.9708571428571429,1670,7200,,,
-34.99109851,4,488,14.93,0.9706304761904762,1671,7256,,,
-35.048763959999995,4,492,15.13,0.9704685714285715,1672,7296,,,
-35.19917346,4,496,15.55,0.9697399999999999,1682,7476,,,
-35.56238011000001,4,500,16.11,0.9694161904761904,1685,7556,,,
-35.76194633,4,504,16.57,0.9691247619047618,1687,7628,,,
-35.64492572,4,508,16.65,0.9689142857142857,1688,7680,,,
-35.68736382,4,512,16.87,0.9684771428571429,1693,7788,,,
