timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-146.32,171.88,0.0,nan,55.0,0.899,0.168
75000,-77.57,83.39,0.0,3.136,44.74,0.813,1.042
150000,66.33,48.09,0.0,2.858,51.85,0.686,1.95
225000,205.72,152.06,0.5,3.084,47.05,0.727,2.01
300000,367.4,5.23,1.0,2.899,34.39,0.763,1.984
375000,332.72,105.58,0.8,2.616,34.13,0.766,1.751
450000,349.79,61.35,0.9,2.855,37.78,0.769,1.393
525000,300.79,193.04,0.8,2.408,42.73,0.767,1.632
600000,266.8,161.77,0.7,2.812,33.38,0.771,2.819
675000,391.07,17.24,1.0,2.558,34.81,0.781,2.336
750000,352.67,95.56,0.9,2.685,33.34,0.769,2.538
825000,345.93,11.39,1.0,3.227,38.34,0.782,2.434
900000,201.65,130.33,0.3,2.61,31.68,0.76,2.196
975000,358.8,93.35,0.9,2.585,31.82,0.78,1.228
1050000,352.44,69.89,0.9,2.834,34.13,0.772,0.951
1125000,328.11,20.3,1.0,3.599,35.52,0.742,1.363
1200000,304.83,105.81,0.8,2.965,38.01,0.774,1.08
1275000,325.6,86.34,0.8,2.863,40.11,0.736,0.416
1350000,355.62,103.11,0.9,2.616,34.02,0.761,0.794
1425000,181.49,169.58,0.4,2.599,26.1,0.8,0.837
1500000,390.28,7.22,1.0,2.591,35.0,0.782,0.223
1500000,353.2,111.45,0.9,2.589,33.04,0.792,0.203
