rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates,train/learning_rate
304.5,0.993955625,9,223,2036,-699.1180005,4,,,
296.375,0.991628125,10,264,2820,-443.452639125,8,,,
404.25,0.984265625,13,382,5300,-370.7568306666667,12,0.36162909865379333,19,0.0003
440.375,0.9777225000000002,18,403,7504,-412.64255737499997,16,0.27798476815223694,156,0.0003
422.6,0.9728537499999999,22,409,9144,-390.44889615,20,0.049941275268793106,259,0.0003
405.5,0.9690181250000001,25,413,10436,-348.5990875416667,24,0.1314576119184494,340,0.0003
420.9642857142857,0.9628668750000001,29,418,12508,-359.07687175000007,28,0.09318367391824722,469,0.0003
441.65625,0.9561099999999999,35,422,14784,-350.6423510625,32,0.09507409483194351,611,0.0003
439.1388888888889,0.9494600000000001,39,426,17024,-380.56206011111107,36,0.33871716260910034,751,0.0003
444.875,0.9461231250000001,42,426,18148,-401.1013047,40,0.7770147919654846,822,0.0003
460.79545454545456,0.9387606250000001,48,427,20628,-393.2139922045454,44,0.08302664011716843,977,0.0003
451.0833333333333,0.9328706250000001,52,427,22612,-382.27898893749995,48,0.12040753662586212,1101,0.0003
449.1730769230769,0.928263125,56,423,24164,-361.4708339038461,52,0.1586994230747223,1198,0.0003
461.375,0.9209006249999999,63,422,26644,-356.54177696428576,56,0.1322164386510849,1353,0.0003
469.4,0.914464375,67,424,28812,-360.25809568333335,60,0.11945860832929611,1488,0.0003
470.171875,0.9092631249999998,72,422,30564,-346.23027220312497,64,0.08686496317386627,1598,0.0003
475.0147058823529,0.902161875,77,425,32956,-356.5650398088234,68,0.362075537443161,1747,0.0003
483.06944444444446,0.8947993750000001,83,425,35436,-364.497612375,72,0.5462186336517334,1902,0.0003
483.14473684210526,0.88887375,87,428,37432,-353.8911869210527,76,0.1169806495308876,2027,0.0003
481.425,0.8819268750000001,93,427,39772,-339.6564250875,80,0.17425277829170227,2173,0.0003
488.0238095238095,0.8745643749999998,98,427,42252,-330.1686157380952,84,0.11926715821027756,2328,0.0003
493.42045454545456,0.86783125,104,426,44520,-321.9067437272728,88,0.2128565013408661,2470,0.0003
491.55434782608694,0.8629387499999999,108,426,46168,-312.3586628369565,92,0.22879962623119354,2573,0.0003
495.1458333333333,0.8555762499999999,114,426,48648,-302.70034434375003,96,0.9317930340766907,2728,0.0003
494.25,0.8512775,117,425,50096,-295.71672626000003,100,0.16727617383003235,2818,0.0003
500.33,0.8473112500000002,120,425,51432,-274.85856831999996,104,0.46965447068214417,2902,0.0003
509.45,0.8413143750000001,125,425,53452,-266.6072754599999,108,0.14919136464595795,3028,0.0003
498.26,0.8348662500000001,130,425,55624,-261.17760138,112,0.10164854675531387,3164,0.0003
499.43,0.8292375000000001,135,424,57520,-245.09830161000002,116,0.4307711720466614,3282,0.0003
504.07,0.8223500000000001,140,426,59840,-236.67625958999997,120,0.13398335874080658,3427,0.0003
511.84,0.8154268750000001,146,425,62172,-232.23919445000004,124,0.20862281322479248,3573,0.0003
509.72,0.8104868749999998,150,425,63836,-216.06070582999996,128,0.6450833678245544,3677,0.0003
502.25,0.808135625,152,425,64628,-205.17632279999998,132,0.5802924633026123,3727,0.0003
500.72,0.800844375,164,407,67084,-182.28374435000006,136,0.7972362637519836,3880,0.0003
496.23,0.7993006249999999,165,409,67604,-159.80761089,140,0.08935124427080154,3913,0.0003
494.67,0.792270625,170,409,69972,-148.90744481,144,0.295796275138855,4061,0.0003
502.75,0.784908125,177,408,72452,-138.25842992000003,148,0.7557700276374817,4216,0.0003
502.8,0.779350625,182,408,74324,-134.49113905000002,152,0.08799242973327637,4333,0.0003
495.25,0.77354375,187,407,76280,-125.61336801000002,156,0.1889047473669052,4455,0.0003
491.68,0.7674993750000001,191,409,78316,-106.98492221999999,160,0.06907873600721359,4582,0.0003
484.15,0.76627625,192,408,78728,-102.79171837999998,164,0.07799782603979111,4608,0.0003
472.57,0.76136,196,408,80384,-81.48609290999998,168,0.342197984457016,4711,0.0003
472.57,0.7539975,203,408,82864,-61.15738779,172,0.06811235100030899,4866,0.0003
467.99,0.7507200000000002,205,407,83968,-54.855528750000005,176,0.4958241283893585,4935,0.0003
467.16,0.7444262500000001,210,408,86088,-52.07716406999999,180,0.7240651249885559,5068,0.0003
462.55,0.737740625,215,410,88340,-44.84184150000001,184,0.06380034983158112,5209,0.0003
459.92,0.731541875,219,412,90428,-33.16368049,188,0.2995462119579315,5339,0.0003
462.49,0.72537875,224,412,92504,-28.11566321,192,0.13735643029212952,5469,0.0003
458.33,0.72010625,227,413,94280,-22.367427619999997,196,0.3263697624206543,5580,0.0003
