timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-735.84,328.94,0.0,nan,29.94,0.791
20000,-738.42,265.36,0.0,2.744,36.3,0.745
30000,-498.51,332.86,0.0,1.898,25.4,0.809
40000,-747.35,333.73,0.0,nan,33.6,0.746
50000,-487.99,367.47,0.0,2.78,51.73,0.558
60000,-461.31,320.16,0.0,nan,48.3,0.553
70000,-454.01,270.27,0.0,nan,48.12,0.517
80000,-294.23,175.86,0.0,2.552,53.46,0.63
90000,-159.51,59.06,0.0,2.638,55.0,0.617
100000,-703.39,353.94,0.0,2.455,55.0,0.755
110000,-674.6,336.47,0.0,2.544,55.0,0.788
120000,-218.7,259.9,0.0,2.519,55.0,0.765
130000,-387.17,283.36,0.0,2.583,55.0,0.793
140000,94.02,358.62,0.5,2.467,49.61,0.787
150000,-272.73,232.24,0.0,2.436,55.0,0.784
160000,-32.82,168.41,0.0,1.824,55.0,0.777
170000,-40.68,159.95,0.0,1.712,53.92,0.787
180000,199.4,122.59,0.4,3.178,51.0,0.775
190000,244.38,191.85,0.6,2.577,45.18,0.798
200000,42.27,254.6,0.3,1.937,35.44,0.821
200704,-19.88,259.64,0.2,1.978,46.36,0.795
