time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/loss
4096,6,-513.095233,374.4,596,1,,,,,,,,,,
8192,12,-538.188007357143,420.64285714285717,654,2,-2.2984179362654684,0.2,0.0285888671875,0.008270817,-0.0066965103134862146,0.0003,10,974.5090530395507,0.001611471176147461,316.860595703125
12288,22,-424.776375,429.6666666666667,549,3,-2.291148743033409,0.2,0.016064453125,0.008164977,-0.005093374905118253,0.0003,20,668.8058052062988,-0.01028430461883545,340.7148132324219
16384,27,-481.76368097058827,432.11764705882354,590,4,-2.27638171762228,0.2,0.0419677734375,0.009922603,-0.0073413138292380605,0.0003,30,388.8023257255554,-0.002100706100463867,164.0158233642578
20480,40,-528.3037669268292,450.9024390243902,502,5,-2.2800185695290565,0.2,0.0136962890625,0.0073794145,-0.004386108292965219,0.0003,40,1313.714295578003,-0.0007702112197875977,655.4427490234375
24576,46,-566.799501627451,445.8235294117647,527,6,-2.2797071501612662,0.2,0.003369140625,0.004009691,-0.003236932717845775,0.0003,50,1552.0173645019531,-0.0011388063430786133,633.3185424804688
28672,53,-551.0096259333333,438.9166666666667,540,7,-2.274081106483936,0.2,0.0148681640625,0.0066602933,-0.003948943593422882,0.0003,60,1485.4221336364747,7.212162017822266e-06,643.0205688476562
32768,61,-554.1336441126762,438.3521126760563,535,8,-2.268426609039307,0.2,0.0246337890625,0.007526737,-0.005009283538674936,0.0003,70,1110.010933303833,0.0011269450187683105,521.2861938476562
36864,67,-548.29513185,438.725,548,9,-2.2711413696408274,0.2,0.0341064453125,0.00975838,-0.006062184074835386,0.0003,80,930.7964008331298,0.00035315752029418945,499.99755859375
40960,79,-512.7364300860215,426.2258064516129,514,10,-2.255026188492775,0.2,0.0673828125,0.010379523,-0.009609459555940702,0.0003,90,586.6529096603393,0.0013219118118286133,246.5742645263672
45056,85,-456.95371061,401.31,526,11,-2.2397773578763007,0.2,0.05595703125,0.008368554,-0.00658173838746734,0.0003,100,373.4829870223999,0.22450363636016846,179.53292846679688
