time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance
634,374.4,4096,6,1,-513.095233,,,,,,,,,,
652,395.5625,8192,12,2,-546.00090775,-0.006740096076828195,0.0027672905,20,315.67578125,851.6474891662598,-2.3002281710505486,0.1,0.0003,0.129150390625,0.0014495253562927246
656,419.7391304347826,12288,18,3,-461.783606,-0.007619304164109053,0.0029803752,40,380.9987487792969,856.1464164733886,-2.29669688642025,0.1,0.0003,0.1278564453125,0.13284939527511597
665,435.8181818181818,16384,24,4,-427.16194133333335,-0.01045604379105498,0.0037113852,60,17.667516708374023,70.36336084604264,-2.2912929229438306,0.1,0.0003,0.2345703125,0.41558194160461426
638,447.42857142857144,20480,32,5,-407.7546686190476,-0.0051058122749964244,0.002391094,80,218.00086975097656,416.3935618400574,-2.2881956577301024,0.1,0.0003,0.07452392578125,0.4690365791320801
649,431.5686274509804,24576,37,6,-405.24601417647057,-0.005776898917974904,0.002248563,100,116.33512878417969,355.0502371788025,-2.2859527014195917,0.1,0.0003,0.057470703125,0.6738463044166565
655,438.21666666666664,28672,43,7,-388.26844296666667,-0.005288294004276395,0.0024301838,120,197.26177978515625,471.4446545124054,-2.2815628968179227,0.1,0.0003,0.08011474609375,0.7067728042602539
647,440.15714285714284,32768,50,8,-389.44475187142854,-0.009699070845817915,0.0039833165,140,138.20176696777344,317.6773329257965,-2.278239492326975,0.1,0.0003,0.1692138671875,0.7447936534881592
655,430.8048780487805,36864,56,9,-375.1284074878049,-0.005002396061172476,0.0023805792,160,376.68878173828125,864.7331548690796,-2.273281519860029,0.1,0.0003,0.06292724609375,0.6660148501396179
629,426.741935483871,40960,65,10,-357.13189494623657,-0.007404099098494044,0.0030432632,180,89.9616470336914,190.7647215127945,-2.269759388267994,0.1,0.0003,0.1364990234375,0.8679707050323486
631,422.73,45056,71,11,-344.60550664999994,-0.011315564912911214,0.004068546,200,39.24650955200195,124.47519319057464,-2.2667182140052318,0.1,0.0003,0.224072265625,0.8911077976226807
635,407.95,49152,77,12,-286.02597204,-0.006360715821938356,0.0029161735,220,171.6969757080078,476.8147358417511,-2.258744849264622,0.1,0.0003,0.1179931640625,0.8179838061332703
608,379.69,53248,87,13,-259.4613263,-0.008336924287141301,0.0026750606,240,36.992164611816406,76.10036362409592,-2.252302970737219,0.1,0.0003,0.14759521484375,0.9233421087265015
615,337.46,57344,93,14,-194.58616827999998,-0.00871827259325073,0.0027292778,260,15.511127471923828,40.02441344857216,-2.244780357927084,0.1,0.0003,0.13543701171875,0.8932363390922546
597,324.17,61440,102,15,-182.55385068000004,-0.011624950142868328,0.0033254158,280,18.668682098388672,42.750146037340166,-2.241781076043844,0.1,0.0003,0.19168701171875,0.868518054485321
602,314.45,65536,108,16,-139.91613934,-0.009897557145450264,0.003219893,300,13.097269058227539,37.37635303735733,-2.2353795424103735,0.1,0.0003,0.15858154296875,0.8964501023292542
