time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance
5,1,374.4,814,4096,-513.095233,,,,,,,,,,
8,2,392.1333333333333,981,8192,-441.30473539999997,0.0003,-2.2944847717881203,0.2,0.011557231,65.09947142601013,35.76940155029297,10,-0.011010362197703216,0.0964111328125,0.004504501819610596
14,3,393.34615384615387,819,12288,-407.70166511538457,0.0003,-2.2802993655204773,0.2,0.012823459,46.018604683876035,14.272308349609375,20,-0.012525488410028629,0.0977783203125,0.39072078466415405
19,4,405.7837837837838,841,16384,-459.69328448648645,0.0003,-2.2656977996230125,0.2,0.009882251,43.2479199051857,16.011014938354492,30,-0.009262417446007021,0.077783203125,0.5613849759101868
25,5,383.98,791,20480,-447.76638286,0.0003,-2.24821417927742,0.2,0.011257226,73.2323082447052,21.997236251831055,40,-0.005971750876051373,0.034130859375,0.6665140390396118
28,6,369.43548387096774,866,24576,-475.3479353064515,0.0003,-2.2434810757637025,0.2,0.008565179,92.73065741062165,32.354854583740234,50,-0.005162679468048737,0.04169921875,0.7158905267715454
30,7,369.0405405405405,930,28672,-465.85506879729735,0.0003,-2.2429662346839905,0.2,0.007586926,133.04704356193542,39.05340576171875,60,-0.004402179141470697,0.04208984375,0.8095572590827942
37,8,353.2613636363636,873,32768,-411.9114458636364,0.0003,-2.2393074169754983,0.2,0.012632718,46.68804304599762,16.027820587158203,70,-0.010471926577884006,0.1207763671875,0.9052017331123352
40,9,332.16,920,36864,-365.61248685,0.0003,-2.2154805436730385,0.2,0.010184571,28.347946727275847,7.631552696228027,80,-0.012988042131473776,0.108837890625,0.9180693626403809
44,10,325.03,911,40960,-387.64869113000003,0.0003,-2.2225823223590853,0.2,0.012773076,20.772602063417434,12.838739395141602,90,-0.014560130052268505,0.130224609375,0.9562386870384216
47,11,307.24,948,45056,-387.51402279,0.0003,-2.2248689383268356,0.2,0.0058231265,108.85281603336334,40.014774322509766,100,-0.005265077564399689,0.0147216796875,0.9212743043899536
49,12,305.73,983,49152,-383.17618272000004,0.0003,-2.2094397231936456,0.2,0.009271236,97.8178577184677,30.457279205322266,110,-0.0058825787549722005,0.0285400390625,0.9264801740646362
57,13,322.24,930,53248,-368.61199316,0.0003,-2.2033577114343643,0.2,0.016057454,32.48550553321839,10.519970893859863,120,-0.021718651754781604,0.2306396484375,0.9639422297477722
59,14,332.23,955,57344,-321.37116372,0.0003,-2.1883978873491285,0.2,0.01830225,35.79551528692245,20.301647186279297,130,-0.019512844350538218,0.2640625,0.9654251337051392
71,15,352.66,857,61440,-334.70563682,0.0003,-2.1651403695344924,0.2,0.009512701,21.316042733192443,6.521158695220947,140,-0.014617690558952744,0.1461669921875,0.9680225253105164
75,16,360.26,868,65536,-346.87288256,0.0003,-2.166653776168823,0.2,0.013623272,34.172138917446134,9.57336139678955,150,-0.014323224815598223,0.1542724609375,0.9730814099311829
78,17,377.65,888,69632,-391.94814974,0.0003,-2.1578487396240233,0.2,0.012621656,71.79010627269744,19.3939151763916,160,-0.011148785210389178,0.1183837890625,0.9517366290092468
85,18,402.81,864,73728,-403.86994267000017,0.0003,-2.1438495710492136,0.2,0.012966961,45.68193873167038,15.104510307312012,170,-0.012026016393792815,0.1278564453125,0.9693984389305115
87,19,420.54,888,77824,-414.10654145000007,0.0003,-2.0933503895998,0.2,0.016378095,18.124174040555953,9.367266654968262,180,-0.022321157084661536,0.2544921875,0.9723075032234192
94,20,437.66,866,81920,-424.40891378,0.0003,-2.0508681178092956,0.2,0.019011125,19.195164722204208,11.86487102508545,190,-0.015323699568398297,0.1984130859375,0.9834319949150085
96,21,452.99,887,86016,-401.2567463200001,0.0003,-2.0322266563773157,0.2,0.016437106,12.279966831207275,7.1925764083862305,200,-0.015989549277583136,0.1869873046875,0.982510507106781
104,22,470.35,862,90112,-377.50304495999995,0.0003,-2.038734759390354,0.2,0.01476267,13.744672879576683,2.881380558013916,210,-0.01868031735502882,0.2474853515625,0.9696220755577087
107,23,492.52,873,94208,-350.4924725800001,0.0003,-2.034957817196846,0.2,0.012901417,17.474383172392844,8.469148635864258,220,-0.013119796903629322,0.18818359375,0.9743219614028931
111,24,512.15,883,98304,-328.50164462,0.0003,-2.031668485701084,0.2,0.014411224,15.279425683617593,5.081956386566162,230,-0.021613014923059382,0.2309814453125,0.9681344032287598
118,25,524.93,861,102400,-305.54936396,0.0003,-2.005682844668627,0.2,0.014022795,19.070789512991905,6.740861892700195,240,-0.021337542141554876,0.2166015625,0.9577963948249817
121,26,509.44,878,106496,-294.56960533,0.0003,-1.9155918926000595,0.2,0.015475293,23.10966639518738,8.23786449432373,250,-0.01990933534980286,0.2523193359375,0.966498076915741
127,27,487.47,867,110592,-260.73940150000004,0.0003,-1.8801609471440315,0.2,0.0138111785,42.14250180721283,10.236598014831543,260,-0.015725976112298666,0.1883544921875,0.9506418704986572
129,28,484.79,882,114688,-218.36247865000004,0.0003,-1.8501772336661815,0.2,0.008396613,26.56015585064888,6.854663848876953,270,-0.010672666228492745,0.12685546875,0.923427939414978
132,29,475.72,897,118784,-173.93030968000002,0.0003,-1.8589765906333924,0.2,0.012041921,11.607271365821362,7.607604503631592,280,-0.010512480202305597,0.129296875,0.9838869571685791
139,30,460.78,880,122880,-160.97232788000002,0.0003,-1.8084322489798068,0.2,0.010095108,18.58176172673702,8.008119583129883,290,-0.010431753046577796,0.1030029296875,0.980068564414978
141,31,430.09,894,126976,-147.61364272999998,0.0003,-1.8632530644536018,0.2,0.016827049,19.97726148366928,12.990163803100586,300,-0.01340922391973436,0.1864501953125,0.9782739877700806
147,32,404.08,886,131072,-132.98418549000002,0.0003,-1.8334226615726947,0.2,0.008075189,39.185908931493756,19.062211990356445,310,-0.0099976896563021,0.0882080078125,0.960869550704956
150,33,401.98,899,135168,-131.80776601999997,0.0003,-1.8561491951346398,0.2,0.012150332,18.776125168800355,12.3771333694458,320,-0.015798230071959553,0.1567626953125,0.9591137170791626
152,34,376.93,911,139264,-118.520199,0.0003,-1.8948153130710126,0.2,0.012973992,16.80382186472416,12.943116188049316,330,-0.016102053812210214,0.141796875,0.9648547172546387
160,35,389.92,893,143360,-105.19726990000001,0.0003,-1.8674919925630094,0.2,0.012723666,30.644114887714387,7.399618148803711,340,-0.009232458179758396,0.107421875,0.9252226948738098
162,36,384.26,905,147456,-99.55462913999997,0.0003,-1.9153225876390934,0.2,0.0101272315,18.852889811992647,6.350843906402588,350,-0.009853784463484772,0.0903076171875,0.9753228425979614
170,37,387.17,887,151552,-91.92860272,0.0003,-1.8637047439813614,0.2,0.011743877,14.680471274256707,6.308496475219727,360,-0.011567234672838822,0.121875,0.9741880297660828
173,38,390.26,898,155648,-88.86830063000001,0.0003,-1.838627739995718,0.2,0.011287459,19.37525607049465,4.474515438079834,370,-0.009779164064093493,0.09951171875,0.961811900138855
