timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
66672,-141.5,58.28,0.0,2.49,58.4,0.778
133336,382.95,112.92,0.9,2.407,40.42,0.771
200000,424.81,17.35,1.0,2.351,38.99,0.782
266664,442.17,19.9,1.0,2.045,40.97,0.776
333336,495.13,13.19,1.0,1.289,38.85,0.768
400000,367.51,236.73,0.7,1.111,40.37,0.765
466664,528.75,14.17,1.0,1.219,39.26,0.765
533328,426.27,310.02,0.8,0.811,40.39,0.763
600000,540.87,20.51,1.0,1.107,37.28,0.77
666664,390.53,300.46,0.7,1.059,40.85,0.767
733328,493.57,121.97,0.9,1.26,35.72,0.784
799992,551.45,6.68,1.0,0.928,37.71,0.765
802816,550.6,11.53,1.0,0.931,37.78,0.762
