timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-207.33,84.55,0.0,nan,7.6,0.905
10000,-204.62,89.91,0.0,nan,7.5,0.906
20000,-216.65,75.76,0.0,nan,7.74,0.904
30000,-230.85,80.43,0.0,nan,8.05,0.903
40000,-320.56,272.75,0.0,2.744,27.75,0.804
50000,-418.62,285.13,0.0,2.744,38.88,0.764
60000,-543.61,273.92,0.0,2.744,44.28,0.742
70000,-514.53,336.07,0.0,2.744,45.12,0.739
80000,-806.09,507.93,0.0,2.744,50.38,0.716
90000,-447.22,259.47,0.0,2.744,46.77,0.731
100000,-514.57,309.46,0.0,2.744,47.06,0.723
110000,-511.71,308.84,0.0,2.744,47.03,0.723
120000,-552.22,376.86,0.0,2.744,47.57,0.717
130000,-492.85,300.34,0.0,2.744,46.44,0.721
140000,-558.91,414.27,0.0,2.744,47.81,0.714
150000,-558.83,412.54,0.0,2.744,47.83,0.714
160000,-559.89,411.21,0.0,2.744,47.82,0.714
170000,-564.59,411.08,0.0,2.744,47.83,0.714
180000,-538.32,357.9,0.0,2.744,47.83,0.714
190000,-555.98,392.88,0.0,2.744,47.83,0.714
200000,-523.34,337.19,0.0,2.744,47.84,0.708
200000,-523.34,337.19,0.0,2.744,47.84,0.708
