timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-207.33,84.55,0.0,nan,7.6,0.905
75000,-499.46,329.35,0.0,nan,50.8,0.766
150000,-178.2,99.01,0.0,nan,55.0,0.837
225000,-124.39,77.55,0.0,nan,55.0,0.857
300000,-133.98,135.06,0.0,nan,55.0,0.898
375000,-146.32,171.88,0.0,nan,55.0,0.899
450000,-110.11,52.39,0.0,nan,55.0,0.87
525000,-94.01,30.32,0.0,nan,55.0,0.877
600000,-146.32,171.88,0.0,nan,55.0,0.899
675000,-146.32,171.88,0.0,nan,55.0,0.899
750000,-78.48,34.33,0.0,2.694,55.0,0.877
825000,-84.22,17.86,0.0,nan,55.0,0.881
900000,-81.18,40.55,0.0,2.258,55.0,0.874
975000,-331.45,322.39,0.0,2.744,55.0,0.782
1050000,-334.34,316.59,0.0,2.744,55.0,0.78
1125000,-194.02,175.19,0.0,2.592,55.0,0.836
1200000,-192.14,165.8,0.0,2.636,55.0,0.845
1275000,-90.31,84.99,0.0,2.287,55.0,0.868
1350000,-79.77,35.43,0.0,2.725,55.0,0.878
1425000,-102.53,93.98,0.0,2.57,55.0,0.865
1500000,-188.66,146.98,0.0,2.614,55.0,0.851
1500000,-188.66,146.98,0.0,2.614,55.0,0.851
