run_id,algo,learning_rate,n_steps,gamma,gae_lambda,ent_coef,vf_coef,max_grad_norm,use_rms_prop,normalize_advantage,timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,convergence_step,wall_time_s
A01,A2C,0.0007,16,0.995,1.0,0.01,0.5,0.5,True,False,200000,-645.04,153.03,0.0,nan,24.79,0.84,20000,155.3
A02,A2C,0.0003,16,0.995,1.0,0.01,0.5,0.5,True,False,200000,-543.23,274.37,0.0,2.744,46.28,0.713,180000,174.8
A03,A2C,0.002,16,0.995,1.0,0.01,0.5,0.5,True,False,200000,-1002.6,560.3,0.0,2.561,46.45,0.767,10000,178.1
A04,A2C,0.0007,64,0.995,1.0,0.01,0.5,0.5,True,False,200000,-254.76,244.58,0.0,2.713,55.0,0.819,10000,176.1
A05,A2C,0.0007,8,0.995,1.0,0.01,0.5,0.5,True,False,200000,-144.35,161.46,0.0,nan,55.0,0.885,60000,201.3
A06,A2C,0.0007,16,0.95,1.0,0.01,0.5,0.5,True,False,200000,-75.32,56.42,0.0,2.533,55.0,0.836,140000,195.8
A07,A2C,0.0007,16,0.995,1.0,0.0,0.5,0.5,True,False,200000,-535.91,301.76,0.0,2.744,45.6,0.706,0,177.6
A08,A2C,0.0007,16,0.995,1.0,0.05,0.5,0.5,True,False,200000,-1111.07,786.98,0.0,2.174,47.93,0.718,50000,149.8
A09,A2C,0.0007,16,0.995,0.95,0.01,0.5,0.5,True,True,200000,-142.7,156.06,0.0,nan,55.0,0.885,50000,202.8
A10,A2C,0.0003,32,0.995,1.0,0.01,0.5,0.5,False,False,200000,-535.91,301.76,0.0,2.744,45.6,0.706,20000,179.2
final,A2C,0.0007,16,0.95,1.0,0.01,0.5,0.5,True,False,1500000,241.03,182.65,0.9667,3.637,36.7,0.752,450000,927.5
