run_id,algo,learning_rate,buffer_size,learning_starts,batch_size,gamma,train_freq,gradient_steps,target_update_interval,tau,exploration_fraction,exploration_initial_eps,exploration_final_eps,max_grad_norm,timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,convergence_step,wall_time_s
D01,DQN,0.0003,200000,10000,128,0.995,4,1,2000,1.0,0.4,1.0,0.05,10.0,200000,260.37,127.59,0.7333,4.095,47.54,0.719,199992,396.6
D02,DQN,0.001,200000,10000,128,0.995,4,1,2000,1.0,0.4,1.0,0.05,10.0,200000,17.33,79.5,0.0,4.264,49.35,0.789,99996,592.5
D03,DQN,5e-05,200000,10000,128,0.995,4,1,2000,1.0,0.4,1.0,0.05,10.0,200000,-63.18,43.73,0.0,5.376,62.0,0.793,33332,627.3
D04,DQN,0.0003,200000,10000,128,0.95,4,1,2000,1.0,0.4,1.0,0.05,10.0,200000,153.93,142.16,0.3333,3.619,51.91,0.737,183328,614.7
D05,DQN,0.0003,200000,10000,128,0.999,4,1,2000,1.0,0.4,1.0,0.05,10.0,200000,-90.02,74.89,0.0,3.622,54.63,0.839,183328,608.6
D06,DQN,0.0003,200000,10000,128,0.995,4,1,2000,1.0,0.1,1.0,0.02,10.0,200000,110.69,170.11,0.3,3.134,39.38,0.772,99996,236.0
D07,DQN,0.0003,200000,10000,128,0.995,4,1,2000,1.0,0.7,1.0,0.15,10.0,200000,49.18,78.74,0.0,3.773,58.35,0.768,133328,228.2
D08,DQN,0.0003,50000,5000,128,0.995,4,1,2000,1.0,0.4,1.0,0.05,10.0,200000,330.17,132.3,0.8,2.812,43.72,0.753,166660,223.6
D09,DQN,0.0003,200000,10000,128,0.995,4,1,500,0.01,0.4,1.0,0.05,10.0,200000,16.5,165.11,0.2,5.828,56.42,0.727,199992,202.5
D10,DQN,0.0005,200000,10000,256,0.995,4,2,2000,1.0,0.4,1.0,0.05,10.0,200000,174.37,176.97,0.5333,4.471,49.43,0.737,50000,348.2
final,DQN,0.0003,50000,5000,128,0.995,4,1,2000,1.0,0.4,1.0,0.05,10.0,800000,455.41,17.58,1.0,2.028,38.34,0.762,399996,1169.5
