agent,algo,condition,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
A2C (final),A2C,nominal,241.03,182.65,0.9667,3.637,36.7,0.752
A2C (final),A2C,unseen_seeds,292.1,144.28,0.9667,3.595,35.72,0.741
A2C (final),A2C,strong_current,70.45,288.19,0.5333,3.819,43.89,0.695
A2C (final),A2C,tight_battery,289.26,130.37,0.9667,3.542,35.81,0.612
A2C (final),A2C,rough_seabed,289.61,154.78,1.0,3.624,32.38,0.753
DQN (final),DQN,nominal,372.04,76.87,0.9333,2.58,34.39,0.773
DQN (final),DQN,unseen_seeds,391.57,6.86,1.0,2.576,34.57,0.755
DQN (final),DQN,strong_current,90.44,492.26,0.5667,2.632,42.65,0.722
DQN (final),DQN,tight_battery,390.85,6.03,1.0,2.586,34.48,0.635
DQN (final),DQN,rough_seabed,395.26,4.93,1.0,2.561,30.97,0.77
PPO (final),PPO,nominal,423.36,195.47,0.9333,1.189,35.23,0.743
PPO (final),PPO,unseen_seeds,457.28,124.59,0.9667,1.215,34.11,0.737
PPO (final),PPO,strong_current,235.06,295.09,0.5667,1.444,37.99,0.718
PPO (final),PPO,tight_battery,446.82,133.95,0.9333,1.211,34.54,0.601
PPO (final),PPO,rough_seabed,401.21,236.23,0.8667,1.257,30.26,0.759
REINFORCE (R06),REINFORCE,nominal,-108.62,77.89,0.0,nan,55.0,0.861
REINFORCE (R06),REINFORCE,unseen_seeds,-90.92,58.76,0.0,2.639,55.0,0.848
REINFORCE (R06),REINFORCE,strong_current,-299.03,382.51,0.0,2.482,49.83,0.782
REINFORCE (R06),REINFORCE,tight_battery,-92.68,59.34,0.0,2.639,55.0,0.79
REINFORCE (R06),REINFORCE,rough_seabed,-81.74,17.1,0.0,nan,55.0,0.85
hand-written pilot,PILOT,nominal,359.95,64.7,0.9,2.582,43.78,0.755
hand-written pilot,PILOT,unseen_seeds,373.09,37.38,0.9667,2.6,43.47,0.746
hand-written pilot,PILOT,strong_current,227.38,178.63,0.5333,2.591,45.39,0.715
hand-written pilot,PILOT,tight_battery,373.09,37.38,0.9667,2.6,43.47,0.62
hand-written pilot,PILOT,rough_seabed,371.25,80.66,0.9667,2.54,39.07,0.76
