run_id,algo,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,vf_coef,max_grad_norm,timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,convergence_step,wall_time_s
P01,PPO,0.0003,512,256,10,0.995,0.95,0.2,0.01,0.5,0.5,200000,233.4,211.57,0.5,1.915,46.01,0.757,170000,390.0
P02,PPO,0.001,512,256,10,0.995,0.95,0.2,0.01,0.5,0.5,200000,234.12,205.44,0.5667,2.267,34.08,0.734,110000,347.8
P03,PPO,0.0001,512,256,10,0.995,0.95,0.2,0.01,0.5,0.5,200000,-121.7,101.75,0.0,nan,55.0,0.883,60000,356.9
P04,PPO,0.0003,512,256,10,0.95,0.95,0.2,0.01,0.5,0.5,200000,-146.37,346.06,0.1667,2.816,51.8,0.675,150000,369.8
P05,PPO,0.0003,512,256,10,0.995,0.95,0.2,0.0,0.5,0.5,200000,-71.58,216.88,0.1333,1.966,52.62,0.747,180000,437.4
P06,PPO,0.0003,512,256,10,0.995,0.95,0.2,0.05,0.5,0.5,200000,-68.91,255.53,0.1667,1.966,40.31,0.803,180000,381.7
P07,PPO,0.0003,512,256,20,0.995,0.95,0.1,0.01,0.5,0.5,200000,109.91,177.51,0.2,1.85,34.79,0.718,180000,416.4
P08,PPO,0.0003,2048,512,10,0.995,0.95,0.2,0.01,0.5,0.5,200000,2.06,149.27,0.1,2.286,53.64,0.663,120000,213.6
P09,PPO,0.0003,512,256,10,0.995,0.8,0.2,0.01,0.5,0.5,200000,-164.01,237.56,0.0,2.417,53.03,0.7,160000,231.3
P10,PPO,0.0005,1024,256,10,0.995,0.95,0.2,0.01,0.5,0.5,200000,369.6,83.48,0.8333,2.207,40.24,0.75,170000,258.2
final,PPO,0.0005,1024,256,10,0.995,0.95,0.2,0.01,0.5,0.5,1500000,423.36,195.47,0.9333,1.189,35.23,0.743,300000,1329.1
