run_id,algo,learning_rate,gamma,episodes_per_update,use_baseline,normalize_returns,ent_coef,max_grad_norm,timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,convergence_step,wall_time_s
R01,REINFORCE,0.0003,0.995,16,True,True,0.01,0.5,300000,-42.86,5.0,0.0,nan,8.45,0.703,150000,117.4
R02,REINFORCE,0.001,0.995,16,True,True,0.01,0.5,300000,-46.68,15.32,0.0,nan,16.93,0.589,165000,117.8
R03,REINFORCE,0.0001,0.995,16,True,True,0.01,0.5,300000,-75.51,6.54,0.0,nan,7.68,0.767,15000,119.6
R04,REINFORCE,0.0003,0.995,16,False,True,0.01,0.5,300000,-65.49,10.6,0.0,nan,3.83,0.857,180000,114.3
R05,REINFORCE,0.0003,0.995,16,True,False,0.01,0.5,300000,-56.21,27.24,0.0,nan,6.96,0.776,240000,121.3
R06,REINFORCE,0.0003,0.995,8,True,True,0.01,0.5,300000,-54.03,6.9,0.0,nan,9.32,0.726,75000,117.3
R07,REINFORCE,0.0003,0.995,48,True,True,0.01,0.5,300000,-41.23,11.87,0.0,nan,8.23,0.732,15000,116.0
R08,REINFORCE,0.0003,0.95,16,True,True,0.01,0.5,300000,-75.56,6.52,0.0,nan,7.7,0.767,15000,115.5
R09,REINFORCE,0.0003,0.995,16,True,True,0.05,0.5,300000,-46.6,4.76,0.0,nan,8.49,0.689,105000,122.0
R10,REINFORCE,0.0005,0.995,32,True,True,0.01,0.5,300000,-65.02,4.97,0.0,nan,7.83,0.763,90000,121.8
